comment,brand,title
"“We are students…low on funds” yet I can see a bag strap with the LV monogram all over it 

Let’s face it, majority of people who are buying insane amounts of clothing from any fast fashion brand is doing it to keep up with the trends 

When I stopped following trends and found my own personal style that suits me, I found it much much easier to resist buying new clothes every other week. Not only does this save my wallet and the planet, I found yourself much happier with the clothes I have and didn’t have the “I have nothing to wear” feeling anymore",shein,"If you think fast fashion is bad, check out SHEIN"
The issue is honestly that we overconsume… i know damn well the girl that said „why would i pay more when i can have it for less“ buys clothes regularly every month which SHOULDNT be the norm. You dont need 10000pieces of clothing. We need to get back to the mindset where less is more.,shein,"If you think fast fashion is bad, check out SHEIN"
"Also remember, clothes from well known fashion brands and that are more expensive not necessarily means good quality or ethically made too. Just stop over consuming clothes and be mindful with what we wear. Don’t follow fashion trends, they just want you to spend!",shein,"If you think fast fashion is bad, check out SHEIN"
I completely agree. Btw Zara and other more expensive clothing stores are still fast fashion too! even though they’re more expensive. Mid/higher end prices doesn’t equal good quality in the U.S ):,shein,"If you think fast fashion is bad, check out SHEIN"
"This makes me so angry because the ones who are usually used as scapegoats when it comes to condemning fast fashion are the people who really have no choice. Not everybody has the means and privilege to afford sustainable clothing. 
And then there's people doing massive Shein hauls for hundreds or even thousands of bucks, meaning they clearly have the funds to make better, more ethical and sustainable choices but they simply choose not to because doing a massive haul of the latest trends is good content.",shein,"If you think fast fashion is bad, check out SHEIN"
Not to mention how Shein routinely steals designs and intellectual property from small designers (particularly minority designers) and outsells them before the designers can even do anything about it,shein,"If you think fast fashion is bad, check out SHEIN"
"As a girl in highschool (I live in the Netherlands) who thrifts all of her clothes (everything except for of course underwear and swimwear), I really hate shein. It is not only bad for the environment, but people also don’t KNOW that it is bad. I see more and more clothes from shein in thrift shops and people just aren’t aware enough of the downsides of fast fashion.",shein,"If you think fast fashion is bad, check out SHEIN"
"I’m so glad fast fashion brands like shein were banned in India recently, it’s worth the sacrifice since it will hopefully allow local creators to blossom and lower the demand immensely on the unethical factories that make these clothes",shein,"If you think fast fashion is bad, check out SHEIN"
"To the kids saying they don't have money to buy anything more expensive: just don't. Don't buy it. You don't really need it and it's not worth it. If you want a cheap winter jacket etc, buy second hand, there are mountains of discarded clothes waiting to be recycled or burned",shein,"If you think fast fashion is bad, check out SHEIN"
"The problem wasn't your average person who buy clothes, it's the people who hauls because the price is so cheap and ended up no even wearing them",shein,"If you think fast fashion is bad, check out SHEIN"
"Everyone around me buys Shein. Now, I do understand the fact that why go spend more when you can spend less. And it is true that not everybody can afford better brands and that almost all brands work like this nowadays. Honestly the reason I never gave in to Shein or other stuff is because they also steal artists work. I mostly thrift my clothes, or don't buy at all. If I have to, I stay in between my budget by trying to polluting less. My advices especially to young people are:
- don't buy what you don't really need
- don't buy what you don't really like
- buy what lasts
- buy versatile, basic essentials clothing to mix and match
- only splurge once in a while and try to make it a good sustainable one
- swap clothes w friends, relatives etc or thrift them
- ignore the urge to mass buy you don't need that many clothes",shein,"If you think fast fashion is bad, check out SHEIN"
"As I have gotten older, I highly value the quality of a well made piece of clothing. I've been buying a LOT of made in the US clothing. I want the opposite of fast fashion. I want to buy clothes that maybe can last me the rest of my life.",shein,"If you think fast fashion is bad, check out SHEIN"
"It was formerly named ""She Inside"", then changed into just ""She-in"", so that's how it's pronounced.
I was getting their newsletter back then lol",shein,"If you think fast fashion is bad, check out SHEIN"
"We need to stop treating climate change like it's an individual problem. It's the corporations we need to be talking to, not trying to dish out responsibility to poor/broke people. Katy Perry and the like have no excuse, but MOST people cannot afford to spend $80 on one piece of sustainable clothing.

Edit: U can argue until u turn blue, but the fact is 100 energy companies are responsible for 71% of **ALL** emissions.",shein,"If you think fast fashion is bad, check out SHEIN"
Probably the best Nike commercial I've seen in a while,nike,Nike Uses Secret Lab and Innovation to Fuel Turnaround
Please make hockey equipment again. Your sticks are skates were great. Edit: and your jerseys were also fantastic!,nike,Nike Uses Secret Lab and Innovation to Fuel Turnaround
You can tell Corvix CRV is being built by a serious team — transparency and delivery are top-notch.,nike,Nike Uses Secret Lab and Innovation to Fuel Turnaround
"Ok, this kind of inside look actually makes me excited for the Nike brand again, looks like they are getting back to what they were known for, being a sports brand, giving performance first place :)",nike,Nike Uses Secret Lab and Innovation to Fuel Turnaround
When you focus on the majority of the people you will learn more than when you focus on the top athletes that are naturally gifted.,nike,Nike Uses Secret Lab and Innovation to Fuel Turnaround
The early momentum of CRV Corvix reminds me of the best 2021 bull-run projects.,nike,Nike Uses Secret Lab and Innovation to Fuel Turnaround
"The more I research CRV Corvix, the more I’m convinced this one’s special.",nike,Nike Uses Secret Lab and Innovation to Fuel Turnaround
The Corvix CRV roadmap is ambitious but well-thought-out — not just hype.,nike,Nike Uses Secret Lab and Innovation to Fuel Turnaround
all you need to do is cut marketing bs and make shoes cheaper so people dont have to pay 200$ for 20$ sneakers,nike,Nike Uses Secret Lab and Innovation to Fuel Turnaround
Canadians are finally learning that real estate is not a get rich quick scheme with no risk,nike,Nike Uses Secret Lab and Innovation to Fuel Turnaround
CRV Corvix is executing at a pace that most early-stage projects can’t match.,nike,Nike Uses Secret Lab and Innovation to Fuel Turnaround
Corvix presale looks like a smart entry point.,nike,Nike Uses Secret Lab and Innovation to Fuel Turnaround
"It’s always the quiet, early builders like CRV Corvix that end up doing 100x later.",nike,Nike Uses Secret Lab and Innovation to Fuel Turnaround
